split,P,mutation_multiplier,p,B,calibration_successes,calibration_success_rate,target_deviation
0,4,0.5,0.025,160,8,0.5,0.0
1,12,1.0,0.05,160,8,0.5,0.0
2,4,2.0,0.1,160,9,0.5625,0.0625
3,4,1.0,0.05,160,10,0.625,0.125
4,4,0.5,0.025,160,7,0.4375,0.0625
5,4,2.0,0.1,160,8,0.5,0.0
6,4,2.0,0.1,160,8,0.5,0.0
7,4,0.5,0.025,160,7,0.4375,0.0625
8,4,2.0,0.1,160,7,0.4375,0.0625
9,4,0.5,0.025,160,8,0.5,0.0
10,4,2.0,0.1,160,8,0.5,0.0
11,4,0.5,0.025,160,7,0.4375,0.0625
12,4,2.0,0.1,160,9,0.5625,0.0625
13,4,0.5,0.025,160,9,0.5625,0.0625
14,4,0.5,0.025,160,8,0.5,0.0
15,4,0.5,0.025,160,8,0.5,0.0
16,4,0.5,0.025,160,8,0.5,0.0
17,4,2.0,0.1,160,6,0.375,0.125
18,4,0.5,0.025,160,8,0.5,0.0
19,4,2.0,0.1,160,6,0.375,0.125
20,4,0.5,0.025,160,7,0.4375,0.0625
21,4,0.5,0.025,160,8,0.5,0.0
22,4,0.5,0.025,160,8,0.5,0.0
23,4,0.5,0.025,160,8,0.5,0.0
24,4,0.5,0.025,160,9,0.5625,0.0625
25,4,2.0,0.1,160,10,0.625,0.125
26,4,2.0,0.1,160,8,0.5,0.0
27,4,2.0,0.1,160,7,0.4375,0.0625
28,4,1.0,0.05,160,9,0.5625,0.0625
29,4,2.0,0.1,160,9,0.5625,0.0625
30,4,0.5,0.025,160,8,0.5,0.0
31,4,0.5,0.025,160,7,0.4375,0.0625
32,4,0.5,0.025,160,8,0.5,0.0
33,4,2.0,0.1,160,9,0.5625,0.0625
34,4,2.0,0.1,160,8,0.5,0.0
35,4,0.5,0.025,160,7,0.4375,0.0625
36,4,0.5,0.025,160,6,0.375,0.125
37,4,2.0,0.1,160,8,0.5,0.0
38,4,0.5,0.025,160,8,0.5,0.0
39,4,1.0,0.05,160,8,0.5,0.0
40,4,1.0,0.05,160,11,0.6875,0.1875
41,4,1.0,0.05,160,8,0.5,0.0
42,4,2.0,0.1,160,10,0.625,0.125
43,4,2.0,0.1,160,8,0.5,0.0
44,4,0.5,0.025,160,8,0.5,0.0
45,4,0.5,0.025,160,9,0.5625,0.0625
46,4,2.0,0.1,160,8,0.5,0.0
47,4,1.0,0.05,160,8,0.5,0.0
48,4,2.0,0.1,160,9,0.5625,0.0625
49,4,0.5,0.025,160,8,0.5,0.0
50,4,0.5,0.025,160,7,0.4375,0.0625
51,4,0.5,0.025,160,8,0.5,0.0
52,12,1.0,0.05,160,8,0.5,0.0
53,4,0.5,0.025,160,9,0.5625,0.0625
54,4,0.5,0.025,160,7,0.4375,0.0625
55,4,0.5,0.025,160,8,0.5,0.0
56,12,1.0,0.05,160,8,0.5,0.0
57,4,2.0,0.1,160,9,0.5625,0.0625
58,4,0.5,0.025,160,8,0.5,0.0
59,4,0.5,0.025,160,8,0.5,0.0
60,4,0.5,0.025,160,7,0.4375,0.0625
61,4,0.5,0.025,160,7,0.4375,0.0625
62,4,1.0,0.05,160,10,0.625,0.125
63,4,0.5,0.025,160,6,0.375,0.125
64,4,2.0,0.1,160,8,0.5,0.0
65,4,2.0,0.1,160,9,0.5625,0.0625
66,4,0.5,0.025,160,7,0.4375,0.0625
67,4,1.0,0.05,160,10,0.625,0.125
68,4,0.5,0.025,160,8,0.5,0.0
69,4,0.5,0.025,160,8,0.5,0.0
70,12,1.0,0.05,160,8,0.5,0.0
71,4,2.0,0.1,160,9,0.5625,0.0625
72,4,2.0,0.1,160,8,0.5,0.0
73,4,0.5,0.025,160,7,0.4375,0.0625
74,4,2.0,0.1,160,9,0.5625,0.0625
75,4,1.0,0.05,160,8,0.5,0.0
76,4,0.5,0.025,160,8,0.5,0.0
77,4,1.0,0.05,160,8,0.5,0.0
78,4,2.0,0.1,160,7,0.4375,0.0625
79,4,1.0,0.05,160,9,0.5625,0.0625
80,4,0.5,0.025,160,6,0.375,0.125
81,4,0.5,0.025,160,9,0.5625,0.0625
82,4,1.0,0.05,160,9,0.5625,0.0625
83,4,0.5,0.025,160,9,0.5625,0.0625
84,4,1.0,0.05,160,8,0.5,0.0
85,4,0.5,0.025,160,7,0.4375,0.0625
86,4,1.0,0.05,160,9,0.5625,0.0625
87,12,1.0,0.05,160,8,0.5,0.0
88,4,0.5,0.025,160,8,0.5,0.0
